NVDA,TSLA,AAPL,AMD,GOOGL
0.28065,2.52,13.47,2.52,18.97
0.28711,2.54,13.95,2.6,19.14
0.2848,2.61,13.93,2.6,19.25
0.28365,2.63,14.35,2.57,19.35
0.2855,2.62,14.55,2.59,19.63
0.28873,2.56,14.71,2.67,19.56
0.28688,2.53,14.34,2.77,19.51
0.2855,2.56,14.31,2.75,19.57
0.2938,2.55,14.3,2.75,19.69
0.29383,2.47,14.1,2.71,19.82
0.28977,2.62,14.09,2.82,20.17
0.28573,2.57,13.75,2.7,19.81
0.28365,2.34,13.67,2.6,19.88
0.28896,2.41,13.81,2.61,19.99
0.28388,2.29,13.57,2.53,19.77
0.28725,2.3,13.76,2.46,19.75
0.29259,2.34,13.62,2.53,19.99
0.29398,2.32,13.52,2.49,20.03
0.29514,2.31,13.19,2.42,20.15
0.29386,2.37,12.87,2.4,20.53
0.29723,2.44,13.21,2.43,20.96
0.297,2.51,13.04,2.43,20.78
0.2963,2.55,13.19,2.55,20.81
0.2977,2.56,13.23,2.56,20.78
0.29479,2.61,13.42,2.59,20.87
0.29584,2.61,13.13,2.61,20.69
0.29584,2.6,13.12,2.6,20.63
0.29607,2.46,13.25,2.63,20.53
0.29352,2.35,13.59,2.6,20.35
0.29143,2.34,13.96,2.65,20.19
0.28957,2.34,13.93,2.67,20.28
0.29305,2.4,13.85,2.75,20.36
0.28841,2.4,13.87,2.64,20.28
0.2898,2.44,14.15,2.54,20.25
0.28818,2.5,14.2,2.51,20.24
0.29027,2.52,14.13,2.54,20.31
0.29375,2.54,13.85,2.55,20.06
0.29793,2.53,13.56,2.55,19.85
0.28818,2.93,13.14,2.44,20.03
0.28504,2.96,13.17,2.39,20.32
0.28158,2.74,13.24,2.32,20.15
0.28434,2.8,13.11,2.33,19.87
0.28934,2.76,12.97,2.29,19.57
0.28864,2.79,13.06,2.59,19.37
0.29328,2.7,13.08,2.63,19.44
0.29793,2.79,13.35,2.61,19.75
0.29654,2.91,13.31,2.52,19.76
0.30397,2.92,13.17,2.48,19.75
0.2977,2.89,12.86,2.4,19.54
0.30095,3.04,13.06,2.44,19.83
0.29688,3.03,12.34,2.4,19.56
0.29119,3.13,12.01,2.51,19.14
0.29189,3.19,11.97,2.47,19.99
0.29236,3.35,12.22,2.46,20.0
0.30002,3.4,12.44,2.53,20.19
0.31024,3.36,12.42,2.61,20.33
0.31279,3.47,12.51,2.68,20.22
0.3114,3.41,12.78,2.64,20.03
0.31511,3.66,13.18,2.68,20.47
0.31976,3.6,13.57,2.82,20.61
0.31697,3.55,13.46,3.22,20.51
0.32069,3.61,13.65,3.41,20.74
0.32208,3.64,13.79,3.6,21.14
0.32115,3.97,14.12,3.61,21.53
0.31697,3.7,14.05,3.54,21.43
0.32275,3.72,14.21,3.83,21.84
0.32301,4.63,14.09,3.86,21.78
0.33764,5.12,13.97,3.95,22.0
0.33067,5.85,14.03,4.17,21.93
0.33555,5.55,13.69,4.26,22.17
0.34124,5.66,13.23,4.38,22.89
0.33973,6.15,13.4,3.83,22.59
0.3453,6.1,13.36,4.07,22.73
0.3446,6.0,13.66,4.1,22.71
0.34822,5.84,13.56,4.02,22.67
0.33608,5.82,13.61,3.96,22.23
0.34145,6.18,13.64,4.01,22.07
0.33935,6.47,13.73,4.05,21.83
0.33912,7.36,13.62,4.05,22.03
0.33702,6.98,13.72,3.98,21.7
0.34145,7.0,13.93,4.04,21.77
0.33772,6.52,13.87,4.0,21.78
0.33725,6.17,13.9,3.96,21.69
0.33772,6.32,13.86,4.01,21.47
0.33048,6.36,13.73,3.91,21.49
0.33258,6.49,13.52,3.94,21.61
0.33713,6.8,13.63,3.91,21.99
0.33702,6.67,13.54,4.06,22.25
0.33072,6.3,13.5,3.96,21.99
0.32792,6.52,13.33,3.9,21.8
0.33538,6.55,13.45,3.95,21.92
0.33492,6.69,13.26,3.94,21.87
0.33818,6.81,13.32,4.05,22.15
0.33608,6.89,13.32,4.09,22.51
0.34635,6.98,13.05,4.07,22.51
0.33702,6.71,12.86,3.87,22.11
0.33643,6.64,12.75,4.0,22.02
0.32955,6.77,12.42,4.05,21.74
0.33188,6.83,12.42,4.15,21.65
0.33002,7.05,12.28,4.14,21.84
0.32698,7.28,12.15,4.08,21.92
0.32768,7.16,12.23,4.08,22.01
0.32908,7.81,12.62,4.1,22.19
0.32885,7.85,12.91,3.97,22.05
0.32978,7.68,12.98,4.06,22.16
0.33235,8.01,12.87,4.07,22.33
0.3306,8.11,12.8,4.0,22.62
0.33237,8.23,13.03,4.05,22.63
0.33678,8.15,12.98,3.98,22.65
0.34145,8.37,13.18,4.45,23.0
0.34169,8.66,13.15,4.32,23.07
0.34099,8.48,13.18,4.4,23.11
0.34285,7.27,13.27,4.43,22.99
0.34099,8.02,13.27,4.38,22.96
0.33959,7.94,13.32,4.64,22.76
0.33235,7.98,13.11,4.03,22.41
0.33212,8.16,13.15,3.9,22.76
0.33165,8.18,12.92,3.66,22.59
0.33165,8.11,13.59,3.63,22.57
0.33282,8.27,13.52,3.7,22.19
0.33142,8.63,13.6,3.82,22.13
0.33072,8.97,13.81,3.75,22.05
0.33632,8.78,13.98,3.82,22.27
0.3369,8.95,13.96,3.77,22.19
0.34169,9.04,14.09,3.81,22.6
0.34449,9.2,14.27,3.8,22.66
0.34612,9.65,14.48,3.82,22.62
0.34099,9.48,14.35,3.72,22.41
0.34075,8.95,14.34,3.69,22.26
0.34306,10.23,14.31,3.71,22.31
0.33818,10.2,14.11,3.65,22.26
0.33538,9.83,14.51,3.65,22.13
0.33655,9.7,15.2,3.69,22.03
0.35079,9.29,15.48,3.82,21.74
0.35301,9.31,15.46,3.69,21.49
0.3545,9.47,15.6,3.66,21.42
0.34892,9.66,15.76,3.6,21.64
0.35068,9.97,15.56,3.63,21.63
0.34904,9.86,15.6,3.61,21.73
0.35091,10.47,15.62,3.63,21.84
0.35091,10.79,15.56,3.65,21.75
0.35174,10.95,15.62,3.58,21.66
0.34728,11.13,15.17,3.39,21.25
0.34716,11.1,15.24,3.42,21.21
0.34646,11.07,15.27,3.38,21.38
0.34599,11.27,15.13,3.27,21.17
0.34622,11.26,15.17,3.27,21.51
0.34951,11.37,15.48,3.31,21.79
0.35045,11.33,15.38,3.41,21.99
0.34904,11.13,15.47,3.57,21.99
0.35479,10.71,15.71,3.69,22.2
0.36241,11.09,15.36,3.87,22.21
0.36851,10.9,14.52,3.82,22.4
0.36827,11.0,14.68,3.75,22.32
0.37062,11.04,14.43,3.83,22.22
0.37085,11.11,13.97,3.82,22.19
0.37203,11.08,14.14,3.85,22.15
0.37529,11.08,14.43,3.93,22.58
0.37355,11.86,14.66,3.95,22.46
0.3705,12.23,14.51,3.83,22.57
0.36687,12.07,15.23,3.79,22.16
0.36827,12.16,15.19,3.8,22.17
0.36886,12.35,14.95,3.91,21.93
0.36757,12.58,15.1,3.89,21.95
0.36546,12.73,14.99,3.86,21.91
0.36499,12.89,14.8,3.81,21.89
0.36475,12.87,15.15,3.86,22.17
0.36452,12.06,15.2,3.9,22.2
0.36077,11.55,15.01,3.9,21.9
0.36569,12.07,15.0,3.91,21.8
0.36569,12.2,15.14,3.86,21.64
0.36264,11.65,14.93,3.72,21.34
0.35701,11.25,15.11,3.65,21.39
0.36088,11.53,15.2,3.79,21.7
0.35795,11.91,15.3,3.83,21.8
0.36335,11.98,15.4,3.97,21.9
0.36147,12.26,15.48,4.02,22.05
0.36593,12.24,15.56,4.09,22.45
0.36663,12.19,15.66,4.09,22.22
0.37085,12.23,15.8,3.53,25.28
0.37179,11.51,16.19,3.37,25.08
0.36991,11.44,16.14,3.18,25.17
0.36361,10.97,16.3,3.14,25.78
0.36088,11.54,16.51,3.23,25.63
0.35748,11.31,16.33,3.34,25.38
0.35678,10.86,16.45,3.32,25.37
0.35725,10.96,16.04,3.33,25.9
0.35701,10.61,16.3,3.3,25.76
0.35629,10.66,16.23,3.34,25.76
0.35783,10.81,16.15,3.31,25.67
0.34763,11.68,16.35,3.32,25.65
0.34716,11.79,16.31,3.33,25.53
0.34951,10.08,16.27,3.32,25.56
0.34118,9.32,16.0,3.28,25.19
0.36499,9.2,16.26,3.27,25.4
0.36804,9.65,16.21,3.34,25.26
0.36862,9.19,16.24,3.44,25.29
0.37883,9.25,16.26,3.54,25.81
0.38047,9.17,16.49,3.52,25.88
0.3793,9.03,16.39,3.5,25.83
0.37015,8.11,16.2,3.47,25.78
0.36414,8.41,16.22,3.42,25.63
0.35871,8.07,16.08,3.42,25.55
0.36154,8.14,16.27,3.37,25.85
0.358,8.09,16.23,3.34,25.79
0.36579,8.06,16.36,3.39,26.14
0.36885,8.03,16.66,3.45,26.46
0.37027,8.46,17.05,3.56,26.57
0.36791,8.49,17.37,3.64,26.49
0.37145,8.28,17.21,3.66,26.36
0.37121,9.65,17.69,3.62,26.33
0.3764,9.26,17.64,3.57,26.45
0.37027,9.37,17.73,3.64,26.43
0.36484,9.16,17.49,3.66,26.74
0.35859,9.44,17.69,3.63,26.95
0.36697,9.48,17.66,3.72,27.11
0.36343,9.31,17.53,3.68,26.93
0.35635,9.83,17.5,3.69,26.74
0.35423,9.84,17.31,3.69,26.52
0.3547,9.86,17.41,3.59,26.82
0.35635,10.16,17.33,3.65,26.74
0.36131,9.87,17.2,3.65,27.11
0.36272,9.38,17.0,3.65,27.15
0.36991,9.55,17.14,3.69,27.51
0.37215,9.57,17.8,3.75,27.87
0.3731,10.09,17.73,3.77,27.79
0.36956,10.37,17.61,3.8,27.93
0.37168,10.07,17.49,3.78,27.96
0.37664,10.16,17.32,3.85,27.73
0.37781,10.03,17.52,3.87,28.01
0.37404,10.01,17.27,3.95,27.82
0.36956,9.97,16.89,4.0,27.62
0.37451,9.8,16.99,4.13,27.93
0.38064,9.96,16.86,4.18,28.47
0.38583,10.09,16.97,4.18,28.53
0.37145,9.84,16.75,4.09,28.25
0.37097,9.71,16.64,4.17,28.25
0.36225,9.29,16.73,4.13,28.07
0.37357,10.75,17.06,4.3,28.73
0.37758,10.94,17.41,4.47,28.71
0.37876,11.4,17.31,4.38,28.9
0.37711,11.33,16.88,4.18,28.76
0.37852,11.78,17.15,4.17,29.09
0.37805,11.9,17.22,3.67,29.12
0.37664,12.1,17.37,3.62,29.0
0.36697,11.64,17.05,3.47,28.09
0.36461,11.31,17.19,3.41,27.53
0.36814,11.89,15.82,3.54,28.07
0.36461,11.68,15.64,3.48,27.67
0.37074,12.19,15.61,3.48,28.38
0.37027,12.09,15.63,3.43,29.52
0.36531,11.81,15.66,3.33,28.33
0.36744,11.92,15.89,3.37,28.45
0.36414,11.63,16.01,3.31,28.57
0.36885,11.89,16.1,3.41,28.99
0.37428,12.44,16.33,3.47,29.43
0.37546,13.1,16.62,3.63,29.32
0.38324,13.11,16.84,3.7,29.75
0.39692,13.02,16.84,3.69,29.66
0.40942,13.31,17.1,3.7,29.99
0.42239,13.22,17.09,3.69,30.06
0.42215,13.58,17.15,3.7,30.27
0.42781,12.91,16.88,3.72,30.05
0.44291,14.0,16.69,3.69,30.1
0.4396,13.97,16.5,3.69,30.09
0.44597,14.51,16.57,3.71,30.31
0.44396,16.53,16.4,3.69,30.49
0.44325,16.87,16.25,3.7,30.5
0.43827,16.84,16.58,3.71,30.47
0.43543,16.32,16.53,3.71,30.39
0.4333,16.7,16.58,3.67,30.06
0.4378,16.99,16.69,3.7,30.37
0.44159,16.84,16.72,3.71,30.45
0.43543,16.86,16.67,3.73,30.48
0.43496,16.41,16.66,3.95,30.36
0.42856,15.92,16.68,3.81,30.28
0.43282,15.63,16.84,3.85,29.99
0.43401,16.1,16.86,3.91,30.18
0.42027,15.85,16.67,3.86,29.72
0.42216,15.4,16.48,3.85,29.31
0.42216,15.6,16.55,3.8,29.8
0.43211,16.0,16.69,3.89,30.28
0.43958,15.72,16.69,3.98,29.98
0.43993,15.66,16.61,4.05,29.92
0.43922,15.26,16.74,4.04,29.57
0.43709,14.68,16.94,4.05,28.94
0.43709,14.7,17.12,4.05,28.96
0.42714,14.2,16.96,4.05,28.29
0.42145,13.82,16.88,3.91,27.85
0.42406,14.16,16.87,3.88,28.0
0.4243,13.9,16.86,4.01,27.86
0.44183,14.46,17.02,4.07,28.37
0.43898,15.35,17.04,4.06,28.37
0.44372,15.03,16.93,4.0,28.54
0.42998,14.15,16.71,4.01,27.23
0.4314,13.83,16.44,3.88,27.0
0.4468,14.36,16.44,3.99,27.84
0.44633,14.46,16.66,3.98,28.32
0.43543,13.61,16.45,3.85,27.3
0.42927,13.59,16.32,3.65,26.86
0.43401,13.21,16.39,3.71,27.23
0.43709,12.93,16.27,3.79,27.4
0.43804,13.27,16.3,3.76,28.16
0.43969,13.21,16.49,3.69,27.14
0.44325,13.63,16.69,4.12,26.94
0.44704,14.58,16.7,4.3,27.24
0.45225,13.87,16.49,4.25,26.84
0.45628,13.86,17.84,4.28,26.69
0.44372,13.32,17.97,4.05,26.13
0.44183,13.23,18.66,3.96,26.12
0.44277,13.79,18.61,4.03,26.79
0.43756,13.86,18.54,4.09,26.71
0.43993,13.85,18.58,4.2,26.9
0.43661,14.06,18.62,4.12,26.66
0.44135,14.44,18.88,4.09,26.74
0.43235,13.82,18.67,4.01,26.1
0.43294,13.42,18.61,3.97,25.87
0.43827,11.91,18.57,3.93,25.98
0.42761,12.15,18.5,3.87,26.3
0.44017,12.31,18.73,3.97,26.89
0.43306,12.68,18.76,4.03,27.05
0.4288,12.71,18.76,3.98,26.69
0.42643,12.57,18.6,3.96,26.43
0.42548,12.77,18.88,4.02,26.38
0.43922,13.07,19.1,4.09,26.91
0.4341,13.02,19.1,4.05,26.99
0.4341,13.3,19.15,4.1,27.45
0.43601,13.66,19.18,4.01,27.74
0.44005,13.82,19.4,4.02,28.16
0.44791,14.1,19.76,4.04,28.71
0.45171,14.02,19.71,4.0,28.49
0.451,14.02,20.07,4.03,28.5
0.45219,13.85,20.0,4.0,28.55
0.45076,13.65,19.86,3.97,28.18
0.44886,13.66,20.14,3.94,27.69
0.44933,13.6,20.37,4.04,27.66
0.45124,13.79,20.45,4.08,28.21
0.4529,13.88,20.39,4.06,28.27
0.45338,13.69,20.72,4.07,28.5
0.45576,13.49,20.84,4.2,28.38
0.46171,13.63,20.76,4.29,28.34
0.46457,13.57,20.41,4.29,27.94
0.46504,13.76,20.19,4.28,27.99
0.46361,14.97,20.39,4.44,27.58
0.46671,15.44,20.36,4.47,27.5
0.46623,15.14,20.38,4.4,28.0
0.45548,15.19,20.31,4.36,28.22
0.45052,15.31,20.1,4.1,28.29
0.44529,15.81,20.09,4.01,28.68
0.43839,15.5,19.96,3.94,28.59
0.44291,15.79,19.98,3.96,29.26
0.43696,15.71,20.1,4.03,29.2
0.43744,15.94,20.34,4.11,29.25
0.44124,16.0,20.55,4.19,29.2
0.44624,15.98,20.68,4.22,29.54
0.44463,15.3,20.67,4.34,29.51
0.44862,15.28,20.79,4.24,29.62
0.44505,14.84,21.22,4.26,29.5
0.44148,14.6,21.09,4.22,28.89
0.45481,14.87,21.09,4.23,29.13
0.45231,14.63,21.02,4.29,28.97
0.45338,14.54,21.06,4.37,29.3
0.45909,15.11,21.33,4.64,29.68
0.461,14.64,21.08,4.53,29.62
0.46052,14.48,20.96,4.66,29.5
0.45933,14.36,20.59,4.57,29.01
0.43886,14.67,20.88,3.83,30.22
0.44148,14.7,20.77,3.78,29.89
0.43958,14.64,20.95,3.8,30.14
0.4303,14.83,21.49,3.76,30.22
0.43101,14.9,21.46,3.73,30.12
0.42339,14.9,21.6,3.76,29.87
0.42173,14.99,21.9,3.73,29.92
0.42316,15.0,21.76,3.79,29.66
0.4303,15.26,21.7,3.82,29.74
0.41649,14.89,21.14,3.91,28.94
0.42101,15.55,21.26,3.97,28.65
0.42006,15.9,21.14,4.0,29.08
0.4203,15.9,21.03,4.08,28.62
0.41982,16.6,21.0,4.12,28.69
0.41554,16.83,21.0,4.1,28.56
0.45219,16.54,21.05,4.12,28.86
0.44981,17.29,21.33,4.14,28.83
0.44981,17.33,21.33,4.08,28.57
0.45243,17.35,21.61,4.11,29.19
0.44743,17.43,21.67,4.08,29.2
0.45314,17.47,21.77,4.13,29.15
0.45933,17.33,22.04,4.21,29.6
0.46304,17.12,22.34,4.27,29.82
0.46017,17.05,22.35,4.28,29.74
0.45586,16.96,22.35,4.24,29.59
0.4561,17.12,22.52,4.25,29.59
0.45682,17.5,22.57,4.18,29.49
0.46507,17.45,22.42,4.19,29.37
0.45969,17.55,22.7,4.16,29.12
0.46351,17.59,22.72,4.14,28.98
0.46495,17.98,22.78,4.17,29.08
0.46602,18.94,22.96,4.16,29.4
0.47057,18.75,21.99,4.19,29.44
0.47881,19.07,21.81,4.15,29.62
0.47738,18.49,21.99,4.15,29.85
0.47308,18.81,21.86,4.13,30.05
0.4671,18.57,21.78,4.08,29.56
0.46877,18.74,22.45,4.08,29.64
0.46399,18.69,22.54,4.08,29.52
0.45706,18.61,22.59,3.96,29.21
0.45084,16.92,22.59,3.91,29.05
0.45742,17.38,22.41,3.81,29.41
0.45778,17.43,22.57,3.82,29.63
0.46471,17.59,22.62,3.88,29.83
0.4561,17.29,22.44,3.81,30.24
0.45156,16.67,22.46,3.76,29.83
0.44965,16.69,22.81,3.69,29.53
0.45228,16.81,22.61,3.7,29.89
0.44248,16.46,21.75,3.63,29.23
0.44331,16.44,22.39,3.6,29.36
0.4426,16.35,22.25,3.55,29.36
0.44104,16.18,22.39,3.41,29.39
0.43674,16.02,22.04,3.35,28.95
0.43483,16.76,22.2,3.39,29.01
0.43578,17.01,22.14,3.4,29.28
0.43315,17.37,22.14,3.36,29.36
0.42849,17.3,21.95,3.28,28.67
0.4365,17.29,22.4,3.28,29.15
0.42813,17.13,22.45,2.95,28.51
0.40268,15.79,22.39,2.72,27.73
0.40124,14.97,22.18,2.74,27.21
0.41056,15.14,21.95,2.62,27.4
0.4169,15.31,21.68,2.61,27.01
0.41714,15.09,21.39,2.64,26.82
0.41642,15.17,21.71,2.72,26.12
0.42001,15.36,22.17,2.67,26.59
0.43794,15.69,22.77,2.77,26.87
0.42766,15.41,22.89,2.64,27.1
0.4371,15.69,23.3,2.69,27.65
0.44176,15.68,23.38,2.68,27.41
0.442,14.78,23.36,2.66,27.46
0.45252,16.18,23.72,2.72,27.91
0.44953,15.87,23.85,2.77,27.89
0.44678,15.91,23.77,2.75,27.98
0.4671,16.11,24.0,2.8,28.36
0.47499,16.17,24.31,2.87,28.16
0.4812,15.93,24.13,2.83,28.18
0.4812,15.4,24.19,2.8,27.77
0.48335,16.08,24.26,2.76,27.55
0.47308,16.01,24.33,2.78,27.56
0.47857,16.13,24.29,2.76,27.88
0.47284,16.74,24.48,2.73,28.03
0.46961,16.61,24.83,2.71,27.88
0.46734,16.78,25.18,2.66,27.79
0.47296,17.25,25.48,2.61,27.73
0.4708,16.93,25.44,2.67,27.3
0.48216,17.18,25.77,2.65,27.19
0.48036,16.52,25.59,2.63,27.33
0.48828,16.58,25.96,2.69,27.16
0.49104,16.19,26.0,2.77,27.26
0.49404,16.45,26.48,2.83,27.34
0.4938,16.54,26.25,2.83,27.43
0.50208,16.56,26.56,2.84,27.36
0.5034,16.3,26.54,2.79,27.42
0.49404,15.44,25.68,2.67,26.95
0.49476,15.43,25.59,2.68,26.9
0.50749,15.29,25.88,2.74,26.82
0.50292,15.22,25.78,2.69,27.1
0.50581,14.91,25.67,2.66,26.37
0.49932,14.29,25.09,2.58,26.51
0.49764,14.46,25.47,2.59,26.77
0.4866,13.99,24.99,2.48,26.37
0.48636,13.93,24.91,2.49,26.57
0.47124,13.8,24.49,2.52,26.05
0.4698,13.6,24.16,2.47,25.76
0.4644,13.19,23.83,2.5,24.88
0.48348,13.72,24.42,2.55,25.29
0.4854,14.55,25.14,2.55,25.7
0.4902,14.62,24.95,2.57,25.97
0.49884,14.84,25.21,2.66,26.58
0.49572,14.73,25.12,2.67,26.91
0.4938,14.82,25.0,2.65,26.82
0.49428,15.19,25.44,2.65,27.04
0.49356,15.05,25.42,2.66,26.83
0.489,14.82,25.11,2.63,26.73
0.48132,14.83,24.64,2.67,26.5
0.48324,14.62,24.4,2.67,26.45
0.47508,14.01,23.71,2.66,25.94
0.46067,14.09,23.72,2.63,25.3
0.45935,14.06,24.05,2.58,25.23
0.47676,14.04,24.97,2.61,25.32
0.47868,13.78,25.0,2.63,25.01
0.47268,13.48,24.38,2.63,24.82
0.47184,13.62,24.6,2.66,25.06
0.47388,12.85,24.51,2.63,25.27
0.47052,12.79,23.84,2.52,25.17
0.47916,12.87,23.66,2.39,25.49
0.4806,12.8,24.27,2.24,25.47
0.48732,13.1,24.45,2.45,25.99
0.49572,13.44,25.09,2.47,26.83
0.49716,13.42,25.22,2.45,27.07
0.49488,13.77,25.24,2.61,26.81
0.47124,13.73,24.36,2.7,26.03
0.46356,13.29,25.74,2.63,25.59
0.47484,13.68,26.54,2.61,25.63
0.46103,13.57,26.15,2.57,26.85
0.471,14.06,26.48,2.67,26.58
0.48276,14.56,26.48,2.76,26.63
0.48396,14.57,26.69,2.85,26.27
0.49176,14.73,26.88,3.31,26.46
0.48972,14.49,26.65,3.03,26.66
0.48924,14.5,26.83,3.04,26.43
0.50292,14.42,27.34,3.04,26.98
0.49956,14.19,27.98,3.07,26.87
0.53533,13.53,28.34,3.12,27.27
0.53557,13.58,28.48,3.15,27.53
0.53713,13.62,28.64,3.11,27.22
0.53101,13.63,28.84,3.08,27.1
0.53233,14.11,28.78,3.06,27.29
0.53617,14.47,29.02,3.06,27.06
0.53197,13.82,29.8,3.06,26.72
0.53764,13.61,29.62,3.11,26.9
0.53354,13.58,28.86,3.1,27.34
0.53498,13.81,29.22,3.08,27.93
0.53161,13.56,28.79,3.11,28.1
0.5445,13.16,28.93,3.21,28.72
0.5345,13.3,28.99,3.14,28.91
0.54053,13.5,28.8,3.05,28.88
0.55089,13.38,28.33,2.98,29.04
0.54342,12.93,28.37,2.92,28.61
0.54486,12.73,28.49,2.93,28.67
0.55414,12.69,27.9,2.92,27.96
0.55137,12.92,27.39,2.84,27.75
0.54631,12.74,27.89,2.76,28.03
0.54703,12.58,27.69,2.75,27.62
0.55354,13.05,28.0,2.76,28.05
0.56029,12.98,28.47,2.77,27.85
0.55113,13.38,28.79,2.75,28.28
0.55944,13.04,28.57,2.74,28.15
0.56559,13.21,28.21,2.8,28.22
0.54727,13.31,28.5,2.84,28.24
0.5398,13.45,28.39,2.79,28.84
0.50703,12.95,27.65,2.63,28.32
0.50522,12.69,27.84,2.65,28.15
0.51522,12.33,27.62,2.72,27.85
0.51739,12.7,28.32,2.7,28.02
0.50426,12.58,27.88,2.68,27.7
0.50631,12.51,27.84,2.69,27.44
0.50751,12.73,28.08,2.69,27.03
0.52209,13.54,28.54,2.7,27.17
0.52679,13.55,28.24,2.7,27.21
0.53065,13.84,28.14,2.71,27.41
0.54282,14.01,28.36,2.72,27.37
0.54848,14.06,28.48,2.76,27.4
0.54342,13.99,28.42,2.78,27.4
0.53884,13.83,28.3,2.67,26.96
0.54535,13.86,28.41,2.7,27.02
0.54197,13.78,28.27,2.87,27.14
0.53498,13.79,27.95,2.58,26.61
0.53233,13.68,28.59,2.49,27.2
0.53149,13.96,28.44,2.35,27.12
0.53764,14.63,28.82,2.28,27.43
0.53547,14.57,29.06,2.33,27.84
0.53089,14.56,29.19,2.3,28.65
0.53498,15.44,29.72,2.34,28.27
0.53751,15.37,29.26,2.31,28.19
0.53354,15.5,28.83,2.28,28.04
0.53486,15.07,28.04,2.26,27.41
0.54824,15.07,28.89,2.31,27.53
0.54486,15.37,28.84,2.31,27.61
0.53089,15.53,28.19,2.28,27.12
0.53257,15.36,28.01,2.29,26.72
0.54197,15.79,28.19,2.32,27.07
0.50185,15.77,28.72,2.31,27.42
0.49715,15.97,28.42,2.32,27.26
0.50197,16.32,28.32,2.35,26.91
0.50486,16.21,28.35,2.37,26.94
0.51305,16.27,29.02,2.33,27.43
0.5133,16.59,28.98,2.32,27.29
0.51257,16.58,29.29,2.35,27.3
0.50937,16.48,29.27,2.28,27.43
0.50937,16.29,29.27,2.32,27.59
0.50573,16.37,29.56,2.28,27.81
0.50501,16.52,29.82,2.28,27.69
0.50186,16.5,29.17,2.22,27.33
0.52873,16.5,29.71,2.28,27.68
0.536,16.76,29.65,2.27,27.68
0.53575,16.72,29.31,2.28,27.23
0.54181,16.63,29.37,2.25,27.43
0.53103,16.56,29.24,2.3,27.67
0.52534,16.6,29.28,2.28,27.73
0.53478,16.39,29.11,2.33,27.55
0.5389,16.61,28.95,2.33,27.45
0.52655,17.09,28.76,2.31,27.14
0.52922,17.07,28.67,2.29,27.08
0.51978,16.71,29.0,2.32,27.6
0.52534,16.76,28.93,2.32,27.47
0.51106,16.71,28.62,2.31,27.34
0.51009,16.69,28.56,2.32,27.12
0.51639,16.87,28.71,2.35,27.21
0.52244,17.36,28.64,2.47,27.3
0.53115,17.46,28.77,2.52,27.78
0.52946,17.5,28.49,2.58,27.84
0.52716,17.32,28.71,2.62,27.95
0.51372,17.84,28.58,2.61,28.14
0.50864,17.68,28.83,2.62,27.9
0.51251,17.92,28.69,2.58,27.87
0.5021,17.81,28.52,2.47,27.62
0.48709,17.47,28.02,2.34,27.03
0.48685,17.88,28.22,2.4,26.97
0.49387,17.94,28.49,2.42,27.13
0.49436,18.67,28.45,2.53,27.34
0.4883,18.65,28.35,2.47,27.25
0.4791,17.86,28.28,2.09,27.47
0.47571,17.0,27.58,2.01,27.05
0.4699,17.19,27.02,1.98,27.2
0.47814,17.28,27.74,1.96,27.77
0.48128,17.48,28.28,1.96,28.55
0.48152,17.71,28.26,2.05,29.18
0.47814,17.54,28.54,1.96,29.16
0.48879,17.78,28.92,1.87,30.05
0.48588,18.31,29.17,1.79,34.94
0.47692,18.82,29.72,1.8,34.6
0.4791,17.78,29.42,1.8,34.73
0.46978,17.86,28.18,1.79,34.72
0.47571,17.81,28.16,1.76,33.7
0.47015,17.69,28.01,1.67,32.7
0.46748,16.87,27.62,1.62,32.88
0.47765,17.65,27.76,1.77,32.95
0.48346,17.59,27.67,1.96,33.03
0.48467,17.79,27.53,1.93,33.19
0.48298,17.74,27.29,1.93,32.84
0.49121,17.33,26.65,2.2,33.2
0.49314,17.75,25.8,2.13,33.03
0.49823,18.01,25.97,2.16,33.63
0.49508,16.41,26.02,2.11,33.47
0.55633,16.17,26.11,2.09,33.18
0.5757,16.08,27.06,1.93,33.12
0.57279,15.82,25.65,1.9,34.48
0.57425,15.88,26.05,1.9,34.53
0.5694,16.17,26.03,1.79,34.29
0.56989,16.21,26.21,1.84,34.43
0.56626,17.0,26.48,1.8,34.67
0.56109,17.38,26.33,1.8,34.4
0.5589,17.02,26.0,1.8,34.66
0.53873,16.15,25.46,1.7,33.94
0.52195,15.38,23.91,1.78,32.16
0.50347,14.59,23.31,1.75,30.87
0.49302,14.67,23.45,1.66,30.59
0.53022,14.99,24.79,1.72,32.95
0.55015,16.2,25.52,1.78,33.36
0.55258,16.57,25.61,1.85,32.95
0.5465,16.6,25.49,1.81,32.35
0.52414,15.91,24.35,1.71,31.44
0.53994,16.51,25.39,1.77,32.21
0.5414,16.37,24.95,1.79,31.82
0.52876,16.13,24.7,1.82,31.41
0.55137,16.54,25.39,1.88,32.16
0.54043,16.59,24.9,1.85,32.13
0.54894,16.57,25.44,1.84,32.52
0.55064,16.68,25.82,2.01,32.73
0.55161,16.88,26.06,1.82,32.59
0.55769,16.9,26.28,1.86,33.22
0.56158,17.48,26.31,1.89,33.24
0.56668,17.47,25.75,1.89,33.55
0.5662,17.37,25.64,1.87,33.01
0.57203,17.61,26.04,1.81,33.31
0.55647,17.4,25.63,1.73,32.62
0.55915,17.4,25.84,1.7,32.63
